category,pct_change
Farm_level_eggs,13.176190476190476
Farm_level_wheat,5.128571428571428
Farm_level_milk,4.9142857142857155
Wholesale_fats_and_oils,4.890476190476191
Farm_level_vegetables,4.747619047619047
Farm_level_cattle,4.680952380952381
Farm_level_soybeans,4.595238095238095
Wholesale_wheat_flour,4.347619047619047
Wholesale_beef,4.257142857142857
Unprocessed_foodstuffs_and_feedstuffs,3.9571428571428577
Farm_level_fruit,3.7285714285714286
Processed_foods_and_feeds,3.433333333333333
Finished_consumer_foods,3.114285714285714
Wholesale_dairy,2.9095238095238094
Wholesale_pork,2.6809523809523808
Wholesale_poultry,2.3714285714285714
