category,pct_change
Farm_level_eggs,6.53469387755102
Wholesale_fats_and_oils,4.131372549019607
Farm_level_milk,3.476470588235294
Farm_level_vegetables,3.450980392156863
Wholesale_beef,3.4098039215686278
Farm_level_cattle,3.2470588235294118
Finished_consumer_foods,3.2078431372549017
Wholesale_dairy,3.1999999999999997
Wholesale_wheat_flour,2.996078431372549
Farm_level_wheat,2.9784313725490197
Processed_foods_and_feeds,2.672549019607843
Wholesale_pork,2.6549019607843136
Unprocessed_foodstuffs_and_feedstuffs,2.623529411764706
Farm_level_fruit,2.621568627450981
Farm_level_soybeans,2.317647058823529
Wholesale_poultry,1.4294117647058824
