category,pct_change
Farm_level_eggs,31.16966040225393
Farm_level_wheat,19.420044425546408
Farm_level_soybeans,17.729610327160074
Wholesale_fats_and_oils,16.889481817937202
Farm_level_milk,15.097080356615898
Farm_level_vegetables,12.094914179919087
Wholesale_wheat_flour,12.071768069082735
Wholesale_pork,11.29428729447751
Farm_level_cattle,10.915628299666059
Unprocessed_foodstuffs_and_feedstuffs,9.721822632311168
Farm_level_fruit,9.421535198161498
Wholesale_beef,9.167382503244006
Wholesale_poultry,7.644142701903125
Wholesale_dairy,6.6642028780642635
Processed_foods_and_feeds,6.581309244561376
Finished_consumer_foods,3.5455799603029625
